Years,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019
Agricultural Area,5489.8047,5387.0454,5211.5751,5072.1624,4967.9154,4929.5547,4927.536,4928.2407,4928.5485,4946.5602,4986.4221,5034.4785,4999.9977,4928.2731,4838.7789,4710.8466,4596.2415,4489.8633
Bare rock,569.5749,350.2197,508.6683,559.9458,489.9861,497.4561,487.26,535.6197,588.1626,619.4691,437.1255,196.1019,242.793,397.3761,547.4637,413.6409,527.7699,442.2636
Bare Soil,0.0009,0.0063,0.0036,0.0126,,,0.0135,0.009,0.027,,0.0045,0.027,0.0144,0.0468,0.0162,0.0459,0.0711,0.3762
Built-up Area,90.7002,87.9453,90.8874,95.8896,99.8343,102.5415,105.4107,109.4418,114.3414,119.1051,122.7771,125.8992,129.0789,134.3655,145.4373,167.8707,249.5817,255.9042
Forest,10682.7192,10789.4997,11001.231,11161.7064,11277.1404,11329.8282,11345.2938,11371.9527,11393.9181,11387.0385,11352.3084,11276.7705,11310.9201,11384.9487,11462.445,11555.9028,11615.1822,11669.7996
Glacier,436.7367,436.2417,436.6593,437.1795,436.8528,436.2615,436.8429,436.3533,437.1543,436.6224,436.4028,435.7872,435.6963,435.7476,435.762,435.8556,435.8781,435.6189
Grassland,1771.1271,1791.6372,1833.6303,1640.646,1577.2698,1581.9633,1536.0417,1721.4993,1701.3402,1666.9773,1860.0138,1831.4973,1710.1278,1565.3106,1614.1806,1644.192,1651.5315,1568.4003
Other Wooded lAND,638.4681,597.3327,589.9059,585.5895,601.1892,600.975,599.5584,602.1603,603.3618,610.29,614.4003,621.3105,626.5656,609.3738,603.6345,597.1689,583.776,599.1336
Riverbed,282.9717,290.8656,293.1444,294.8022,296.5293,288.747,282.3831,270.1062,251.9208,229.2786,212.2002,191.133,186.4998,184.1094,201.9798,225.5346,241.1019,248.3199
Snow,254.2896,487.9215,250.3827,368.9343,473.8338,449.7876,499.4298,246.222,202.7313,203.0562,196.2036,500.0868,574.7058,575.9892,367.2891,465.4368,316.4778,495.2961
Waterbody,77.2992,74.9772,77.6043,76.824,73.1412,76.5774,73.9224,72.0873,72.1863,75.2949,75.834,80.6004,77.2929,78.1515,76.7052,77.1975,76.0806,88.7166
