Years,Category,Extereme Drought ,Severe Drought ,Moderate Drought ,Mild Drought ,No Drought 
2001,WaterBody,13.1337,27.4788,20.3328,12.2094,3.681
2001,Glacier,16.2108,61.1424,82.0377,126.2016,128.3364
2001,Snow,17.4969,52.6365,57.7791,67.2948,54.9
2001,Forest,1004.4225,3259.9638,3032.4888,1919.1231,1464.9579
2001,Riverbed,101.8422,121.4811,41.805,13.3335,4.2732
2001,Built-up Area,4.1157,14.2803,22.2903,27.063,22.9338
2001,Agricultural Land,1620.4698,2183.4441,1057.9653,511.5906,116.1918
2001,Bare Soil,0,0,0,0.0009,0
2001,Bare Rock,218.1852,246.7008,55.5219,35.9127,12.0492
2001,Grassland,398.2464,661.9824,324.9486,230.5242,153.9999
2001,Other Wooded Land ,64.3104,185.4189,135.1692,119.8836,133.1919
2002,WaterBody,7.1802,22.8879,19.3419,16.1928,8.9217
2002,Glacier,55.1007,118.0512,90.3402,82.0242,69.8751
2002,Snow,194.7096,152.46,68.2299,38.9232,27.4311
2002,Forest,177.2829,1927.6065,3112.6212,3258.0189,2312.6751
2002,Riverbed,28.8144,143.0712,72.603,33.795,12.3318
2002,Built-up Area,0.5364,4.7034,7.5006,13.635,61.5546
2002,Agricultural Land,286.1883,1902.9834,1639.3869,1036.8486,521.4915
2002,Bare Soil,0.0018,0.0009,0.0036,0,0
2002,Bare Rock,263.8098,72.2619,8.7399,3.7647,0.9918
2002,Grassland,522.0135,556.1325,351.5688,225.7893,135.1314
2002,Other Wooded Land ,37.4526,165.7377,163.4724,123.8247,106.7175
2003,WaterBody,10.7298,20.0772,15.5295,15.4611,15.1794
2003,Glacier,26.2611,65.4201,76.6449,106.6248,101.4579
2003,Snow,24.1587,57.7278,55.6434,55.9233,38.6991
2003,Forest,126.2385,1045.9935,2573.6769,3814.5123,3438.486
2003,Riverbed,58.122,103.3191,66.4119,39.2121,25.839
2003,Built-up Area,0.7839,3.6729,7.6482,18.4635,60.2982
2003,Agricultural Land,87.6114,912.0231,1504.6245,1510.2027,1196.9478
2003,Bare Soil,0.0036,0,0,0,0
2003,Bare Rock,316.8063,137.7549,29.8575,13.7835,4.2507
2003,Grassland,751.2192,387.8991,252.1899,232.7868,204.057
2003,Other Wooded Land ,67.8213,112.1697,130.9095,132.1056,146.4957
2004,WaterBody,5.1912,23.9472,21.7341,17.6328,7.758
2004,Glacier,19.188,76.7583,94.1904,114.0642,130.8915
2004,Snow,14.5521,61.3089,65.8035,94.3119,132.5187
2004,Forest,241.0794,2113.6401,3357.4896,3336.3774,2111.9409
2004,Riverbed,51.1092,138.5604,67.7718,28.8207,8.3034
2004,Built-up Area,0.9666,14.4783,27.5814,33.8427,19.0053
2004,Agricultural Land,262.9413,1858.5144,1610.883,1001.6622,338.0148
2004,Bare Soil,0,0,0.0054,0,0.0072
2004,Bare Rock,15.3495,92.4219,110.6838,144.5418,196.8408
2004,Grassland,42.1857,257.2965,358.8138,418.1301,563.8023
2004,Other Wooded Land ,14.8464,96.8994,124.2765,136.9809,212.4828
2005,WaterBody,10.1286,17.2593,15.741,15.6816,13.8123
2005,Glacier,36.639,89.379,99.7434,103.1652,71.2755
2005,Snow,176.5737,131.8473,74.0907,53.8335,29.0556
2005,Forest,60.7203,736.6113,2200.0284,3763.2438,4514.4612
2005,Riverbed,86.6754,108.4959,55.4931,29.5209,16.1073
2005,Built-up Area,1.2942,4.7493,9.0189,24.1605,60.5961
2005,Agricultural Land,110.2464,1015.191,1451.5101,1350.8667,1039.9536
2005,Bare Rock,321.2361,117.0738,27.8433,14.6538,5.0508
2005,Grassland,457.0704,368.9253,251.7201,244.3626,253.3239
2005,Other Wooded Land ,25.9155,83.0484,114.9624,149.0904,227.9547
2006,WaterBody,8.883,21.3885,17.046,16.6284,12.1185
2006,Glacier,38.7567,58.5873,62.4321,92.2374,148.0158
2006,Snow,107.3817,107.2215,70.1649,65.9871,81.8343
2006,Forest,152.0721,1562.2074,2513.4255,3468.1518,3632.7555
2006,Riverbed,70.1937,119.3004,55.71,29.2617,14.0625
2006,Built-up Area,1.8747,11.232,25.6302,35.3322,28.4571
2006,Agricultural Land,313.1496,1741.0599,1405.6092,991.7613,477.8334
2006,Bare Rock,286.5843,104.9823,56.6937,35.0118,8.244
2006,Grassland,499.8591,325.278,326.1501,254.5119,173.6028
2006,Other Wooded Land ,41.0112,118.4913,138.4362,137.4246,165.5046
