Years,y,VALUE,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5
2001,1,WaterBody,13133700,27478800,20332800,12209400,3681000
2001,2,Glacier,16210800,61142400,82037700,126201600,128336400
2001,3,Snow,17496900,52636500,57779100,67294800,54900000
2001,4,Forest,1004422500,3259963800,3032488800,1919123100,1464957900
2001,5,Riverbed,101842200,121481100,41805000,13333500,4273200
2001,6,Built-up Area,4115700,14280300,22290300,27063000,22933800
2001,7,Agricultural Land,1620469800,2183444100,1057965300,511590600,116191800
2001,8,Bare Soil,0,0,0,900,0
2001,9,Bare Rock,218185200,246700800,55521900,35912700,12049200
2001,10,Grassland,398246400,661982400,324948600,230524200,153999900
2001,11,Other Wooded Land ,64310400,185418900,135169200,119883600,133191900
2002,1,WaterBody,7180200,22887900,19341900,16192800,8921700
2002,2,Glacier,55100700,118051200,90340200,82024200,69875100
2002,3,Snow,194709600,152460000,68229900,38923200,27431100
2002,4,Forest,177282900,1927606500,3112621200,3258018900,2312675100
2002,5,Riverbed,28814400,143071200,72603000,33795000,12331800
2002,6,Built-up Area,536400,4703400,7500600,13635000,61554600
2002,7,Agricultural Land,286188300,1902983400,1639386900,1036848600,521491500
2002,8,Bare Soil,1800,900,3600,0,0
2002,9,Bare Rock,263809800,72261900,8739900,3764700,991800
2002,10,Grassland,522013500,556132500,351568800,225789300,135131400
2002,11,Other Wooded Land ,37452600,165737700,163472400,123824700,106717500
2003,1,WaterBody,10729800,20077200,15529500,15461100,15179400
2003,2,Glacier,26261100,65420100,76644900,106624800,101457900
2003,3,Snow,24158700,57727800,55643400,55923300,38699100
2003,4,Forest,126238500,1045993500,2573676900,3814512300,3438486000
2003,5,Riverbed,58122000,103319100,66411900,39212100,25839000
2003,6,Built-up Area,783900,3672900,7648200,18463500,60298200
2003,7,Agricultural Land,87611400,912023100,1504624500,1510202700,1196947800
2003,8,Bare Soil,3600,0,0,0,0
2003,9,Bare Rock,316806300,137754900,29857500,13783500,4250700
2003,10,Grassland,751219200,387899100,252189900,232786800,204057000
2003,11,Other Wooded Land ,67821300,112169700,130909500,132105600,146495700
2004,1,WaterBody,5191200,23947200,21734100,17632800,7758000
2004,2,Glacier,19188000,76758300,94190400,114064200,130891500
2004,3,Snow,14552100,61308900,65803500,94311900,132518700
2004,4,Forest,241079400,2113640100,3357489600,3336377400,2111940900
2004,5,Riverbed,51109200,138560400,67771800,28820700,8303400
2004,6,Built-up Area,966600,14478300,27581400,33842700,19005300
2004,7,Agricultural Land,262941300,1858514400,1610883000,1001662200,338014800
2004,8,Bare Soil,0,0,5400,0,7200
