VCI_Mean,Years,Agricultural_Area(Sq.Km),Others_LC_Area(Sq. Km)
0.461,2001,5489.805,14803.888
0.496,2002,5387.045,14906.647
0.504,2003,5211.575,15082.117
0.486,2004,5072.162,15221.530
0.520,2005,4967.915,15325.777
0.522,2006,4929.555,15364.138
0.543,2007,4927.536,15366.156
0.507,2008,4928.241,15365.452
0.499,2009,4928.549,15365.144
0.528,2010,4946.560,15347.132
0.537,2011,4986.422,15307.270
0.544,2013,5034.479,15259.214
0.570,2014,4999.998,15293.695
0.579,2015,4928.273,15365.419
0.533,2016,4838.779,15454.913
0.621,2017,4710.847,15582.846
0.568,2018,4596.242,15697.451
0.637,2019,4489.863,15803.829
